基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
007696,嘉实融享货币,货币型-浮动净值,139.65,嘉实基金,112.0028,张文玥,2019-08-21,None,None,6.88%,None
007869,汇添富汇鑫货币B,货币型-浮动净值,0.47,汇添富基金,110.2824,王骏杰,2020-08-26,None,None,5.49%,None
007868,汇添富汇鑫货币A,货币型-浮动净值,0.05,汇添富基金,109.5377,王骏杰,2020-08-26,None,None,5.04%,None
007746,华安现金润利,货币型-浮动净值,0.64,华安基金,109.1445,孙丽娜,2021-03-08,None,None,5.52%,None
007858,鹏华浮动净值型发起式货币,货币型-浮动净值,0.11,鹏华基金,107.3359,叶朝明,2019-08-29,None,None,4.38%,None
007805,华宝浮动净值货币,货币型-浮动净值,0.12,华宝基金,105.9102,陈昕,2019-09-06,0.12%,-1.08,4.16%,None
007708,中银瑞福浮动净值型货币A,货币型-浮动净值,0.01,中银基金,103.4205,范静,2019-09-10,None,None,4.95%,None
007709,中银瑞福浮动净值型货币C,货币型-浮动净值,0.06,中银基金,103.4205,范静,2019-09-10,None,None,5.05%,None
003816,银华日利B,货币型-普通货币,22.59,银华基金,101.0500,王树丽,2018-06-07,None,None,6.24%,11.40%
511880,银华日利A,货币型-普通货币,836.25,银华基金,100.9230,王树丽,2018-06-07,1.45%,0.20,5.48%,10.06%
184801,鹏华前海万科REITS,REITs,29.91,鹏华基金,99.7290,刘方正,2015-08-06,2.73%,0.03,4.85%,20.27%
070002,嘉实增长混合,混合型-偏股,22.36,嘉实基金,14.2846,归凯,2018-12-04,15.72%,-1.07,-39.31%,27.80%
000011,华夏大盘精选混合A,混合型-灵活,32.63,华夏基金,13.0150,屠环宇,2024-03-26,18.08%,-0.81,-34.32%,10.64%
012628,华夏大盘精选混合C,混合型-灵活,0.13,华夏基金,12.7140,屠环宇,2024-03-26,18.07%,-0.84,-35.83%,None
910004,东方红启恒三年持有混合A,混合型-偏股,6.51,东方红资产管理,9.4038,张锋,2021-04-21,16.72%,-0.65,-25.40%,None
166301,华商新趋势优选灵活配置混合,混合型-灵活,104.65,华商基金,9.1380,周海栋,2015-05-14,21.10%,0.38,31.31%,241.22%
011724,东方红启恒三年持有混合B,混合型-偏股,99.46,东方红资产管理,9.0050,张锋,2021-04-21,16.72%,-0.72,-28.49%,None
